127.0.0.1 - - [24/Mar/2024:10:37:11 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:37:12 +0530] "GET /NoteTaker/ HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:37:12 +0530] "GET /NoteTaker/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:37:13 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:37:15 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:41:12 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2537
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:41:39 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:41:44 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 404 743
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:49:17 +0530] "GET /NoteTaker/index.jsp HTTP/1.1" 200 1944
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:49:18 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:50:05 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [24/Mar/2024:10:50:06 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 1896
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:10:03 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2907
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:10:04 +0530] "GET /NoteTaker/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:10:04 +0530] "GET /NoteTaker/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:10:42 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:10:43 +0530] "GET /NoteTaker/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:10:43 +0530] "GET /NoteTaker/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:11:53 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2922
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:11:53 +0530] "GET /NoteTaker/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:11:54 +0530] "GET /NoteTaker/... HTTP/1.1" 404 768
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:14:21 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2952
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:14:21 +0530] "GET /NoteTaker/img/notes.png HTTP/1.1" 200 22764
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:15:27 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3009
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:15:27 +0530] "GET /NoteTaker/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:15:50 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3012
0:0:0:0:0:0:0:1 - - [24/Mar/2024:11:15:50 +0530] "GET /NoteTaker/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:00:50 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:00:50 +0530] "GET /NoteTaker/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:01:13 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3042
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:01:34 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3027
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:02:56 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3048
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:04:07 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:04:07 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3024
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:08:33 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3408
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:08:33 +0530] "GET /NoteTaker/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:08:57 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:09:10 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3432
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:09:16 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3411
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:09:51 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3390
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:10:15 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:11:56 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:12:01 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:12:04 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3361
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:25:08 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3444
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:25:10 +0530] "GET /NoteTaker/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:25:12 +0530] "GET /NoteTaker/DeleteServlet?%20note_id%20=24937 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:25:15 +0530] "GET /NoteTaker/DeleteServlet?%20note_id%20=24937 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:25:17 +0530] "GET /NoteTaker/DeleteServlet?%20note_id%20=24937 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:25:22 +0530] "GET /NoteTaker/DeleteServlet?%20note_id%20=45456 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:25:25 +0530] "GET /NoteTaker/DeleteServlet?%20note_id%20=45456 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:27:05 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:27:07 +0530] "GET /NoteTaker/DeleteServlet?note_id%20=24937 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:35:25 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3441
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:35:25 +0530] "GET /NoteTaker/img/notes.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:35:27 +0530] "GET /NoteTaker/DeleteServlet?note_id%20=24937 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:04 +0530] "GET /NoteTaker/index.jsp HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:12 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 3438
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:14 +0530] "GET /NoteTaker/DeleteServlet?note_id=24937 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:14 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:17 +0530] "GET /NoteTaker/DeleteServlet?note_id=45456 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:17 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:19 +0530] "GET /NoteTaker/DeleteServlet?note_id=9698 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:19 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:38:20 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:39:18 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:39:25 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:39:30 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:39:33 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:39:37 +0530] "GET /NoteTaker/index.jsp HTTP/1.1" 200 1915
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:39:38 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:39:51 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:40:20 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:40:22 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:41:43 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:41:46 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:41:47 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 2578
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:41:49 +0530] "GET /NoteTaker/DeleteServlet?note_id=43331 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:41:49 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:42:02 +0530] "GET /NoteTaker/all_notes.jsp HTTP/1.1" 200 1958
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:42:04 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:42:17 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:42:28 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:42:34 +0530] "GET /NoteTaker/add_note.jsp HTTP/1.1" 200 2529
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:42:49 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [24/Mar/2024:12:42:58 +0530] "POST /NoteTaker/SaveNoteServlet HTTP/1.1" 200 -
